c_assoc_code,Weight,c_assoc_pair,c_assoc_desc,c_assoc_desc_chn,c_assoc_role_type,c_sortorder,c_assoc_type_id,c_assoc_type_desc_chn
59,-0.5,60,Planned to assassinate,????,A,173,407,????
60,-0.5,59,Assassination planned by,?Y????,P,174,407,????
61,-0.5,61,Disagreed with views of,??,M,134,407,????
64,0.01,65,Officer under command of,?Y???,A,73,403,????????
65,0.01,64,Officer under his command was,???Y,P,74,404,????????
66,0.01,67,Staff member of,?Y???,A,77,403,????????
67,0.01,66,Staff member was,???Y,P,78,404,????????
68,0.01,69,Recognized the virtue of,???Y???,A,8,103,????
69,0.01,68,Virtue recognized by,??Y???,P,9,103,????
70,0.01,71,Poetry known or praised by,???Y???,P,275,207,??????
71,0.01,70,Knew or praised poetry of,??Y???,A,274,207,??????
72,0,73,Scholarship source writings of,?Y??????,P,380,506,????
73,0,72,Writings scholarship source of,?????Y??,A,381,506,????
74,0.07,0,New Policies dissenters,????????,A,107,405,????
75,-0.5,76,Criticized via poetry by,?Y????,P,155,407,????
76,-0.5,75,Used poetry to criticize,????Y,A,156,407,????
83,-0.5,84,Disliked or hated,?/?,A,130,407,????
84,-0.5,83,Disliked or hated by,?Y??/?,P,131,407,????
85,-0.1,0,Attacked daoxue,????,A,281,208,????
86,0.7,87,Raised in the home of,?Y??,P,32,901,????????
87,0.7,86,Raised in his home,??,A,33,901,????????
88,0,89,Explanation of capping name (zixu or zishuo) composed for,?Y??????,A,461,507,????
89,0,88,Explanation of capping name (zixu or zishuo) composed by,??????Y??,P,460,507,????
94,0.05,94,Lived in the same village as,??,M,2,102,??……???
95,0.3,95,Knew,??,M,18,301,????????
97,-0.5,0,Purged by New Policy coalition,?Y???????,A,162,407,????
104,0.5,105,Dying memorial praised,????,A,121,406,????
105,0.5,104,Praised in dying memorial by,?Y??????,P,122,406,????
106,-0.5,107,Refused office in administration of,???Y????????,A,178,407,????
107,-0.5,106,Offer of office refused by,???Y??????,P,177,407,????
108,0.01,108,Discussed scholarship with,??,M,307,204,??????
113,0.01,113,Member of poetry society with,????,M,276,207,??????
114,0,114,Poems composed with,???,M,393,510,????
117,0.05,117,Tongxue was,?????,M,204,205,??……???
118,0.07,119,Informal advisor of,?Y???,A,104,405,????
119,0.07,118,Informally advised by,?Y???,P,105,405,????
120,0.05,120,Take imperial examinations with,???/???,M,206,205,??……???
126,0.05,127,Transmitted the scholarship of,?Y??,A,238,203,????
127,0.05,126,Scholarship transmitted by,???Y??,P,239,203,????
128,-0.5,129,Recommended execution of,????Y,A,180,407,????
129,-0.5,128,Execution recommended by,?????Y??,P,181,407,????
130,0.07,131,Retainer (?) of,?Y???,A,102,405,????
131,0.07,130,Retainer (?) was,???Y,P,103,405,????
132,0,133,Biography written by,?????Y,P,375,506,????
133,0,132,Biographer of,?Y??,A,374,506,????
136,-0.5,137,Attacked or not support policies of,??/???Y???,A,139,407,????
137,-0.5,136,Policies attacked-not supported by,????Y??/???,P,140,407,????
138,-0.5,139,Attacked by coalition of,?Y?????,P,152,407,????
139,-0.5,138,His coalition attacked,????Y,A,151,407,????
140,0.05,141,Scholarship praised by,??Y??,P,256,203,????
141,0.05,140,Praised scholarship of,????Y???,A,257,203,????
142,-0.5,143,Refused an audience with,????,A,188,407,????
143,-0.5,142,Audience invitation refused by,??????Y??,P,189,407,????
144,-0.5,0,Purged by anti-Qin Gui forces,?Y???????,A,159,407,????
145,0,146,Sacrificial prayer written for,?Y???,A,363,505,????
146,0,145,Sacrificial prayer written by,???Y??,P,362,505,????
147,0,148,Invocation prayer written for,?Y???,A,353,505,????
148,0,147,Invocation prayer written by,???Y??,P,352,505,????
149,0,150,Postscripted calligraphy or painting of,?Y??????,A,430,504,????
150,0,149,Calligraphy or painting postscripted by,????Y??,P,431,504,????
151,0,152,Ancestral stele or records written for,?Y?????,A,409,502,????
152,0,151,Ancestral stele or records written by,?????Y??,P,408,502,????
154,0,155,Requested epitaph (for a third party) from,?Y????????????,A,319,503,????
155,0,154,Epitaph written (for a third party) at the request of,?Y???????????????,P,318,503,????
156,-0.5,157,Tried and found guilty by,?Y??,P,167,407,????
157,-0.5,156,Tried and found guilty,??,A,168,407,????
158,-0.5,159,Arrested by,?Y??,P,166,407,????
159,-0.5,158,Arrested,??,A,165,407,????
160,0,161,Temple stele(miaobei) written for,?Y????,A,415,502,????
161,0,160,Temple stele(miaobei) written by,????Y??,P,414,502,????
162,0,163,Departure note sent to,?Y?????(?????),A,394,510,????
163,0,162,Departure note received from,????Y????(?????),P,395,510,????
166,0,167,Lamentation prayer written by,???Y??,P,354,505,????
167,0,166,Lamentation prayer written for,?Y???,A,355,505,????
168,-0.5,0,Purged by anti-Han Tuozhou forces,?Y????????,A,160,407,????
172,0.01,173,Praised the literary style of,??Y???,A,272,207,??????
173,0.01,172,Literary style praised by,???Y???,P,271,207,??????
174,0,175,Funerary stele calligraphy done by,???????Y??,P,346,503,????
175,0,174,Funerary stele calligraphy done for,?Y??????,A,347,503,????
180,-0.5,181,Executed at the order of,??Y??????,P,172,407,????
181,-0.5,180,Ordered the execution of,????,A,171,407,????
183,-0.5,184,Attacked or denounced,??[??15],A,149,407,????
184,-0.5,183,Attacked or denounced by,?Y?? [??16],P,150,407,????
185,0.01,186,Determined jinshi rank of,??Y?????,A,72,404,????????
186,0.01,185,Jinshi rank determined by,?????Y??,P,71,404,????????
187,0,188,Posthumous name essay written by,???Y??,P,406,502,????
188,0,187,Posthumous name essay written for,?Y???,A,407,502,????
189,-0.5,190,Amnesty opposed for,????,A,186,407,????
190,-0.5,189,Amnesty opposed by,???????Y???,P,187,407,????
193,0.05,194,Honored,?Y????,A,228,203,????
194,0.05,193,Honored by,?Y????,P,229,203,????
195,0.5,196,Contributed to military expenses of,????Y??,A,50,602,????
196,0.5,195,Military expenses contributed by,????Y???,P,51,602,????
197,0.01,197,Served in the same bureau with,??,M,67,402,????????
198,0,199,Charitable estate stele written by,????Y??,P,410,502,????
199,0,198,Charitable estate stele written for,?Y????,A,411,502,????
204,-0.5,205,Executed,??,A,169,407,????
205,-0.5,204,Executed by,?Y??,P,170,407,????
206,-0.1,207,Fought against the rebel,???????Y,A,55,603,????
207,-0.1,206,Fought (as rebel) by loyalist,????Y??????,P,56,603,????
208,0.05,209,Ancestral source of learning was,?Y??,A,240,203,????
209,0.05,208,Descent line of teaching to,???Y??,P,241,203,????
210,-0.5,211,Killed by followers of,?Y????????,P,176,407,????
211,-0.5,210,Followers killed,?????????Y,A,175,407,????
213,0.05,214,Tutor to the family of,?Y????,A,232,206,????
214,0.05,213,Tutor of family was,?Y?????,P,233,206,????
217,0.05,218,Received the classics from,???Y,P,248,203,????
218,0.05,217,Transmitted the classics to,???Y,A,249,203,????
219,0.01,220,Buried by,?Y??,P,12,1001,????????
220,0.01,219,Buried,?,A,13,1001,????????
223,0.01,224,Prepared for burial corpse of,???Y??,A,10,1001,????????
224,0.01,223,Corpse prepared for burial by,??Y??,P,11,1001,????????
225,0,226,Inkstone motto written for,?Y???,A,457,508,????
226,0,225,Inkstone motto written by,???Y??,P,456,508,????
227,-0.1,228,Denounced scholarship of,?Y??,A,279,208,????
228,-0.1,227,Scholarship denounced by,???Y??,P,280,208,????
231,0.01,232,Studied with,?Y?,P,289,204,??????
232,0.01,231,Taught to,??Y,A,290,204,??????
235,0,236,Birth congratulated by,(????????),P,402,510,????
236,0,235,Congratulated the birth of,(????????),A,403,510,????
237,0,238,Nianpu composed by,???Y??,P,378,506,????
238,0,237,Nianpu composed for,?Y???,A,379,506,????
239,0,240,Buddhist temple stele written for,?Y????,A,413,502,????
240,0,239,Buddhist temple stele written by,????Y??,P,412,502,????
241,0,242,Funerary stele seal done by,??????Y??,P,348,503,????
242,0,241,Funerary stele seal done for,?Y???????,A,349,503,????
243,0.07,244,Purged for association with,??Y??????,A,96,405,????
244,0.07,243,Association caused purge of,???????Y???,P,97,405,????
247,0,248,Charitable estate rules preface by,?Y???????,A,454,504,????
248,0,247,Charitable estate rules preface for,??????Y??,P,455,504,????
249,0.07,250,Official in the administration of,?Y?????? [????????],A,10000,405,????
250,0.07,249,Official in his administration was,?????Y?? [????????],P,10000,405,????
251,0.05,251,Co-authored book with,??(?)??,M,260,203,????
252,0.01,253,Shrine erected for,?Y????,A,64,801,????????
253,0.01,252,Shrine erected by,Y??????,P,65,801,????????
254,-0.5,0,Purged by clique of Cai Jing,?Y??????,A,161,407,????
256,0.05,257,Adopted the learning of,??Y??,A,242,203,????
257,0.05,256,Learning adopted by,???Y???,P,243,203,????
258,0.05,259,Taught the philosophy of,??Y??,A,250,203,????
259,0.05,258,Philosophy taught to students by,???Y????,P,251,203,????
260,-0.5,261,Refused to be a secretary of,??Y??,A,182,407,????
261,-0.5,260,Secretary offer refused by,??Y???????,P,183,407,????
262,0.07,263,Supported selection as emperor,??Y,A,115,405,????
263,0.07,262,Selection as emperor supported,??Y???,P,116,405,????
268,0.05,268,"Member of same club (hui, she, etc) as",??,M,3,102,??……???
269,-0.5,270,Critic of,??,A,141,407,????
270,-0.5,269,Criticized by,?Y??,P,142,407,????
273,0.07,274,Supported the policies of,??Y??? [??27],A,88,405,????
274,0.07,273,Supporter of policies was,?????Y???[??26],P,89,405,????
275,0,276,Preface to geneology composed by,???Y??,P,450,504,????
276,0,275,Prefaced geneology of,?Y?????,A,451,504,????
277,0.3,277,proceeded with (friendship),?Y?,M,205,301,????????
278,0.07,279,Vice-envoy in embassy of,?Y??,A,69,405,????
279,0.01,278,Chief envoy of vice-envoy,?????Y???,P,70,404,????????
280,0,280,Corresponded with,"(????,????? 429, 430, 431, 432)",M,10000,509,????
281,0.07,0,Yuanfeng coalition member (???),???? [??],A,108,405,????
282,0.07,464,Accused as criminal associate of,???Y???,P,95,405,????
283,0,284,Received essay on village toast (xiangyin xu) from,????????Y????,A,404,510,????
284,0,283,Wrote essay on village toast (xiangyin xu) for,?Y????????,P,405,510,????
287,0.07,0,New Policies supporters,????????,A,106,405,????
292,0.01,293,Associated with the menren of,?????????,A,267,207,??????
293,0.01,292,Menren associated with,??Y??????,P,268,207,??????
294,-0.5,294,Struggled for power with,?Y??,M,197,407,????
297,0,298,Study motto (zhaiming) by,?????Y??,P,458,508,????
298,0,297,Wrote Study motto (zhaiming) for,?Y?????,A,459,508,????
299,-0.5,300,Fled as officer from the realm of,??Y????,A,192,407,????
300,-0.5,299,Officer who fled from his realm was,Y????????,P,193,407,????
301,0.05,302,Hired to teach in lineage school,?Y????,P,236,206,????
302,0.05,301,Hired to teach in lineage school by,?Y??????,A,237,206,????
303,-0.5,304,Refused to be in coalition of,??Y??,A,185,407,????
304,-0.5,303,Coalition membership refused by,?Y???????,P,184,407,????
305,0.07,0,Qingyuan coalition accuser,????????,A,112,405,????
306,0.07,0,Qingyuan coalition member,???????????,A,111,405,????
309,0.05,310,Descendants were menren of,?????Y??,A,231,203,????
310,0.05,309,Menren were descendants of,???Y???,P,230,203,????
315,0.3,316,Travel into exile accompanied,?Y???,A,29,301,????????
316,0.3,315,Travel into exile accompanied by,?Y?????,P,30,301,????????
321,0,322,Beiyin composed by,???Y??,P,350,503,????
322,0,321,Beiyin composed for,?Y???,A,351,503,????
323,0.05,324,Book relied on by,???Y??,P,254,203,????
324,0.05,323,Relied on book by,?Y???,A,255,203,????
325,0,326,Postscripted stele for,[??334],A,440,504,????
326,0,325,Stele for postscripted by,[??333],P,441,504,????
333,0,334,Epitaph postface by,????Y??,P,438,504,????
334,0,333,Epitaph postface for,?Y??????,A,439,504,????
335,0.7,336,Affinal relationship refused by,?????Y??,P,35,901,????????
336,0.7,335,Refused affinal relation offered by,??Y?????,A,34,901,????????
339,0.01,340,Visited,??,A,4,103,????
340,0.01,339,Visited by,??Y??,P,5,103,????
341,0.01,342,Poetry edited by,??Y???,A,265,207,??????
342,0.01,341,Edited poetry of,???Y??,P,266,207,??????
343,-0.1,344,Defeated in battle,??,A,57,603,????
344,-0.1,343,Defeated in battle by,??,P,58,603,????
349,0.3,350,Assisted,(????????),A,10000,301,????????
350,0.3,349,Assisted by,(????????),P,10000,301,????????
351,0.5,352,Posthumous titular office proposed for,????Y,A,128,406,????
352,0.5,351,Posthumous titular office proposed by,?Y?????,P,129,406,????
354,0.07,355,Eunuch in service of,????Y,A,117,405,????
355,0.07,354,Served by eunuch,???Y??,P,118,405,????
356,0.01,0,Personnel administration (CJ),(?????????????),A,194,402,????????
358,0.07,359,Liked by,??Y???,P,83,405,????
359,0.07,358,Liked,??,A,84,405,????
361,0.05,362,Studied writings of,??Y???,A,258,203,????
362,0.05,361,Writings studied by,????Y???,P,259,203,????
363,0.01,364,Treated with respect,??,A,6,103,????
364,0.01,363,Treated with respect by,?Y???,P,7,103,????
365,0.5,366,Served as lady-in-waiting,?Y??,A,75,406,????
366,0.01,365,Served as lady-in-waiting by,?Y???,P,76,404,????????
367,0.07,367,Agreed with views of,????,M,85,405,????
379,0.01,380,Calligraphy emulated by,???Y???,P,277,207,??????
380,0.01,379,Calligraphy emulated,??Y???,A,278,207,??????
381,-0.1,382,Surrendered to,??,A,59,603,????
382,-0.1,381,Surrender accepted from,??Y???,P,60,603,????
388,-0.5,389,Deposed,??Y???,A,195,407,????
389,-0.5,388,Deposed by,???Y??,P,196,407,????
390,0,391,Congratulatory note sent to,?Y??,A,399,510,????
391,0,390,Congratulatory note received from,?Y????? (occasion),P,398,510,????
396,0,397,Family history (jiazhuan) composed by,???Y??,P,376,506,????
397,0,396,Family history (jiazhuan) composed for,?Y???,A,377,506,????
398,0,403,Explanation of personal name (mingshuo) composed for,?Y???,A,463,507,????
399,0,400,Postface to genealogy (jiapu) written by,???Y??,P,452,504,????
400,0,399,Wrote Postface to genealogy (jiapu) for,?Y????,A,453,504,????
403,0,398,Explanation of personal name (mingshuo) composed by,???Y??,P,462,507,????
404,0.5,404,Fought together,??,M,54,602,????
405,0,406,Funerary stele written by,????Y??,P,320,503,????
406,0,405,Wrote Funerary stele for,?Y????,A,321,503,????
407,0,408,Received request for Funerary stele from,?Y??????,P,322,503,????
408,0,407,Requested Funerary stele be written by,?Y????,A,323,503,????
409,0,410,Tomb stone (mubiao) written by,???Y??,P,324,503,????
410,0,409,Wrote Tomb stone (mubiao) for,?Y???,A,325,503,????
411,0,412,Received request for Tomb stone (mubiao) from,?Y?????,P,326,503,????
412,0,411,Requested Tomb stone (mubiao) be written by,?Y???,A,327,503,????
413,0,414,Epitaph preface written by,?????Y??,P,436,504,????
414,0,413,Wrote Epitaph preface for,?Y?????,A,437,504,????
415,0,416,Funerary stele preface written by,?????Y??,P,442,504,????
416,0,415,Wrote Funerary stele preface for,?Y?????,A,443,504,????
417,0,418,Funerary stele postface written by,?????Y??,P,444,504,????
418,0,417,Wrote Funerary stele postface for,?Y?????,A,445,504,????
419,0,420,Tomb stone preface written by,????Y??,P,446,504,????
420,0,419,Wrote Tomb stone preface for,?Y????,A,447,504,????
421,0,422,Tomb stone postface written by,????Y??,P,448,504,????
422,0,421,Wrote Tomb stone postface for,?Y????,A,449,504,????
423,0,424,Elegy written by,?????Y??,P,370,505,????
424,0,423,Wrote Elegy for,?Y?????,A,371,505,????
425,0,426,Biographical sketch (xingzhuang) written by,???Y??,P,372,506,????
426,0,425,Wrote Biographical sketch (xingzhuang) for,?Y???,A,373,506,????
427,0,428,Portrait eulogy written by,??(???)?Y??,P,418,502,????
428,0,427,Wrote Portrait eulogy for,?Y???(???),A,419,502,????
429,0,430,Sent letter to,??Y,A,383,509,????
430,0,429,Was sent  letter by,????Y,P,384,509,????
431,0,432,Replied to letter from,?Y?,A,385,509,????
432,0,431,Was sent a reply by,??Y???,P,386,509,????
433,0,434,Sent official letter to,?Y?,A,387,509,????
434,0,433,Received official letter from,??Y??,P,388,509,????
435,0,436,Replied to offical letter from,?Y?,A,389,509,????
436,0,435,Received official reply from,??Y???,P,390,509,????
437,0,438,Presented literary composition as gift to,????,A,391,510,????
438,0,437,Received literary composition as gift from,??Y?????,P,392,510,????
439,0,440,Inscribed calligraphy of,?Y???,A,432,504,????
440,0,439,Calligraphy inscribed by,????Y??,P,433,504,????
441,0,442,Inscribed painting of,?Y???,A,434,504,????
442,0,441,Painting inscribed by,????????Y,P,435,504,????
443,0,444,Composed Building inscription for,?Y???????????,A,420,502,????
444,0,443,Building inscription composed by,?????Y????????,P,421,502,????
445,0.05,445,"Shared ""same way"" with",??,M,208,203,????
446,0.01,447,Lent to,??Y,A,465,1001,????????
447,0.01,446,Borrowed from,?Y?,P,466,1001,????????
448,0.01,449,gave money or goods to,?Y??,A,467,1001,????????
449,0.01,448,received money or goods from,??Y???,P,468,1001,????????
450,0.01,451,Bought from,?Y??,P,469,1001,????????
451,0.01,450,Sold to,??Y,A,470,1001,????????
452,0.01,453,Tenant was,???Y,P,471,1001,????????
453,0.01,452,Landlord was,???Y,A,472,1001,????????
454,0.01,455,Household servant was,???Y,A,473,1001,????????
455,0.01,454,Household master was,???Y,P,474,1001,????????
456,0.05,457,Scholarly works edited by,??Y?????,P,263,203,????
457,0.05,456,Edited scholarly works of,??????Y??,A,264,203,????
458,0,459,School stele written by,????????Y??,P,416,502,????
459,0,458,Wrote School stele for,?Y????????,A,417,502,????
460,0.7,461,Took possession of the wife of,?Y??,A,40,901,????????
461,0.7,460,Wife was taken possession of by,??Y?,P,41,901,????????
462,0,463,Kuangji (Grave Inscription) written by,???Y??,P,328,503,????
463,0,462,Wrote kuangji (Grave Inscription) for,?Y???,A,329,503,????
464,0.07,282,Criminal associate was accused to be,??????Y,A,95,405,????
465,0,466,wrote colophon for item in collection of,?Y?????,A,,504,????
466,0,465,colophon for item in collection written by,????Y??,P,,504,????
467,0.05,468,sought direction in learning from,?Y??,P,,203,????
468,0.05,467,gave direction in learning to,??Y,A,,203,????
469,0,470,wrote colophon to the writings of,?Y?????,A,,504,????
470,0,469,colophon to writings was composed by,????Y??,P,,504,????
471,-0.5,472,did harm to,??Y,A,,407,????
472,-0.5,471,was harmed by,?Y??,P,,407,????
473,0.01,474,painted in style of,????Y,A,,207,??????
474,0.01,473,style of painting imitated by,???Y???,P,,207,??????
475,0.01,476,calligraphy or painting praised by,????Y???,P,,207,??????
476,0.01,475,"praised calligraphy, painting of",??Y????,A,,207,??????
477,0.1,478,with medical arts served,????Y,A,,701,????????
478,0.1,477,was served by the medical arts of,?Y?????,P,,701,????????
479,0,480,wrote preface for the literary works of,?Y??????,A,,504,????
480,0,479,preface to literary works was written by,????Y??,P,,504,????
481,0.01,482,superior was,???Y,P,,403,????????
482,0.01,481,subordinate was,???Y,A,,404,????????
483,0,484,wrote plaque for,?Y??????,A,,508,????
484,0,483,plaque written by,??????Y??,P,,508,????
485,0,486,achieved justice for,?Y??,A,,101,????????
486,0,485,justice for achieved by,???Y??,P,,101,????????
487,0.05,488,memorialized the writings of,??Y??,A,,203,????
488,0.05,487,writings memorialized by,???Y???,P,,203,????
489,0.01,490,wrote in the stead of,?Y??,A,,103,????
490,0.01,489,writing in his stead done by,?Y???,P,,103,????
491,-0.5,492,rejected the entreaties of,?Y??,A,,407,????
492,-0.5,491,entreaties were rejected by,??Y???,P,,407,????
493,0.07,494,was aided by,?Y??,P,,405,????
494,0.07,493,aided,??Y,A,,405,????
495,0.01,496,friend to Y when Y was heir-apparent,?Y?????,A,,403,????????
496,0.01,495,friend from time as heir-apparent was,?????Y,P,,404,????????
497,0,498,Wrote living person shrine inscription for,?Y?????,A,,502,????
498,0,497,living person shrine inscription written by,????Y??,P,,502,????
499,0.05,500,recruited Y to be instructor at school or academy,?Y???????,A,,206,????
500,0.05,499,was recruited to be instructor at school or academy,?Y?????????,P,,206,????
501,0.01,502,saw off on journey,??,A,,103,????
502,0.01,501,as seen off on journey by,???,P,,103,????
503,0.01,504,presented painting to,??,A,,103,????
504,0.01,503,was presented painting by,????,P,,103,????
505,0.01,506,"presented writing, calligraphy to",?????Y,A,,103,????
506,0.01,505,"was presented writing, calligraphy by",??Y???????,P,,103,????
507,0,508,seduced,??Y,A,,101,????????
508,0,507,was seduced by,?Y??,P,,101,????????
509,0.01,510,"requested a preface, inscription from",?Y????,A,,103,????
510,0.01,509,"preface, inscription requested by",?Y??????,P,,103,????
511,0.01,512,borrowed books from,?Y??,A,,103,????
512,0.01,511,books borrowed by,???Y,P,,103,????
513,-0.5,514,opposed assertion of emperorship by,??Y??,A,,407,????
514,-0.5,513,assertion of emperorship opposed by,???Y???,P,,407,????
515,-0.5,516,insulted,??Y,A,,407,????
516,-0.5,515,was insulted by,?Y??,P,,407,????
517,0,518,wrote inscription for tomb of,?Y??,A,,503,????
518,0,517,inscription for tomb written by,??Y?,P,,503,????
519,0.01,520,offered strategic plans to,???Y,A,,403,????????
520,0.01,519,was offered strategic plans by,??Y???,P,,404,????????
521,-0.1,521,formed deep bond with,??,M,,603,????
522,-0.1,522,in offering assistance went together with,?Y???,M,,603,????
523,0,524,wrote colophon to the record of conduct of,?Y?????,A,,504,????
524,0,523,colophon to record of conduct written by,????Y??,P,,504,????
525,0,526,wrote colophon to the family biography of,?Y?????,A,,504,????
526,0,525,colophon to the family biography written by,????Y??,P,,504,????
527,0.3,528,aided,??Y,A,,301,????????
528,0.3,527,was aided by,??Y???,P,,301,????????
529,0,530,evaluated the writings of,??Y???,A,,507,????
530,0,529,writings evaluated by,???Y??,P,,507,????
531,0,532,calligraphy for heading of grave biography written by,??????Y??,P,,504,????
532,0,531,wrote calligraphy for heading of grave biography for,?Y???????,A,,504,????
533,0.01,534,gave presents to,?Y?,A,,103,????
534,0.01,533,given presents by,?Y???,P,,103,????
535,0.01,536,"chose name, courtesy name for",?Y????,A,,103,????
536,0.01,535,"name, courtesy name chosen by",????Y??,P,,103,????
537,0,538,colophon to sacrificial prayer written by,????Y??,P,,504,????
538,0,537,wrote colophon to sacrificial prayer for,?Y????,A,,504,????
539,0.07,540,political accomplishments praised by,???Y???,P,,405,????
540,0.07,539,praised the political accomplishments of,??Y???,A,,405,????
541,0.05,542,printed the writings of,??Y???,A,,206,????
542,0.05,541,writings printed by,???Y??,P,,206,????
543,0,544,Requested epitaph (from a third party) for,?????????Y????,A,,503,????
544,0,543,Epitaph requested by (from a third party),?????Y??????????,P,,503,????
545,0,546,Requested funerary stele (for a third party) from,?Y????????????,A,,503,????
546,0,545,Funerary stele written (for a third party) at the request of,?Y???????????????,P,,503,????
547,0,548,Requested funerary stele (from a third party) for,?????????Y????,A,,503,????
548,0,547,Funerary stele requested by (from a third party),?????Y??????????,P,,503,????
549,0.7,550,taken as foster daughter by,?Y???,P,,901,????????
550,0.7,549,took as foster daughter,???Y,A,,901,????????
551,0.5,552,Requests government act for,?Y???,A,,406,????
552,0.5,551,Government act requested by,???Y??,P,,406,????
553,0.01,554,Memorialized concerning,???Y,A,,401,????????
554,0.01,553,was memorialized about by,?Y??,P,,401,????????
555,0.3,555,journeyed with,?Y??,M,,301,????????
556,0,557,Wrote Inscription for Daoist institution for,?Y????,A,,505,????
557,0,556,Inscription for Daoist institution written by,????Y??,P,,505,????
558,0.3,559,Examiner of,?Y???,A,,202,????
559,0.3,558,Examined by,???Y,P,,202,????
560,0,561,Wrote Shrine inscription for,?Y???,A,,502,????
561,0,560,Shrine inscription written by,???Y??,P,,502,????
562,0,563,servant of,?Y???,A,,101,????????
563,0,562,servant was,???Y,P,,101,????????
564,0.7,565,family friend was,?????Y,P,,901,????????
565,0.7,564,Family friend to,?Y?????,A,,901,????????
566,0.7,567,arranged marriage of,?Y??,A,,901,????????
567,0.7,566,marriage arranged by,Y????,P,,901,????????
568,0.7,569,Took as foster son,?Y???(??),A,,901,????????
569,0.7,568,Taken as foster son by,?Y???(??),P,,901,????????
570,0.7,571,Claimed to be kin with,?Y??????,A,,901,????????
571,0.7,570,Was claimed kin with,Y????????,P,,901,????????
572,0.01,573,edited the writings of,??Y???,A,,207,??????
573,0.01,572,writings were edited by,???Y??,P,,207,??????
574,0,575,female servant of,?Y??,A,,101,????????
575,0,574,female servant was,??Y,P,,101,????????
576,0.01,577,presented poetry collection to,????Y,A,,207,??????
577,0.01,576,was presented poetry collection by,?Y???,P,,207,??????
578,0,579,preface to family biography written by,????Y??,P,,504,????
579,0,578,wrote preface to family biography of,?Y?????,A,,504,????
580,0,581,Wrote inscription for writings of,?Y????,A,,504,????
581,0,580,writings inscribed by,?????Y??,P,,504,????
582,0.5,583,gave miitary support to/surrendered to,????Y,A,,602,????
583,0.5,582,was supported militarily/surrendered to by,?Y?????,P,,602,????
